Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results,,
4020-00-DW-009,Locker Room above Gymnasium 4,8/18/2016,21.2,AA,,
4020-01-DW-024,"Outside ""B"" Cafeteria Site Map Room 114 -  Left",8/18/2016,10.8,BA,,
4020-01-DW-025,"Outside ""B"" Cafeteria Site Map Room 114",,,8/18/2016,6.7,BA
4020-01-DW-026,"Outside ""B"" Cafeteria Site Map Room 114",,,8/18/2016,18.9,AA
4020-01-DW-028,"Outside ""B"" Cafeteria Site Map Room 114",,,8/18/2016,34.8,AA
4020-01-DW-029,"Outside ""B"" Cafeteria Site Map Room 114 -  Right",,,8/18/2016,87.0,AA
4020-01-DW-056,Outside Room 100,8/18/2016,7.7,BA,,
4020-01-DW-057,Outside Room 100 -,8/18/2016,7.5,BA,,
4020-01-DW-064,Outside Men's Room - Across from Room 105,8/18/2016,11.4,BA,,
4020-02-DW-081,Outside Room 217 - Left,8/18/2016,7.8,BA,,
4020-02-DW-082,Outside Room 217 - Right,8/18/2016,7.9,BA,,
4020-02-DW-095,Outside Main Office - Left,8/18/2016,11.6,BA,,
4020-02-DW-096,Outside Main Office - Right,8/18/2016,9.4,BA,,
4020-03-DW-101,Outside Room 309 - Left,8/18/2016,14.2,BA,,
4020-03-DW-102,Outside Room 309 - Right,8/18/2016,14.3,BA,,
4020-03-DW-111,Outside Room 318 - Left,8/18/2016,16.3,AA,,
4020-03-DW-112,Outside Room 318 - Right,8/18/2016,4.3,BA,,
4020-03-DW-114,Outside Room 326 - Right,8/18/2016,6.3,BA,,
4020-01-DW-015,Outside of cafeteria - next to Room 112A - left,8/18/2016,6.3,BA,,
4020-01-DW-016,Outside of cafeteria - next to Room 112A -right,8/18/2016,9.8,BA,,
4020-00-DW-167,Inside Girl's Locker Room - Site Map Room 001A,8/18/2016,8.8,BA,,
4020-00-DW-171,Boy's Locker Room - Gym #2 - Site Map Room 010A,8/18/2016,11.2,BA,,
4020-01-DW-175,Inside Girls Gymnasium - Site Room Map 014A,8/18/2016,5.7,BA,,
4020-01-DW-177,Inside Boys Gymnasium - site Room Map 013A,8/18/2016,2.4,BA,,
4020-01-DW-178,Hallway outside of Boys Gymnasium - Site Map Rm 013A,8/18/2016,6.7,BA,,
4020-01-DW-181,Outside of Boys Gymnasium - Near Exit to Oxford Avenue,8/18/2016,9.3,BA,,
4020-00-WC-190,Adjacent to Kitchen (Child Care),8/18/2016,0.63,BA,,
4020-00-WC-191,South Classroom - 004 Site Map - Child Care,8/18/2016,0.85,BA,,
